1000,1,0,0,0,8
0,0,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
0,0,0,0,0,8
0,0,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
0,0,0,0,0,8
1000,1,0,0,0,8
0,0,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,611,611,1815,8
1000,1,1356,1356,4050,8
500,2,2177,2177,6510,8
500,2,2866,2866,8583,8
500,2,3617,3617,10827,8
333,3,4434,4434,13269,8
333,3,5321,5321,15939,8
250,4,6610,6610,19809,8
250,4,8219,8219,24549,8
200,5,9809,9809,29397,8
142,7,11334,11334,33924,8
142,7,13638,13259,40519,8
142,7,15229,14043,44491,8
125,8,17108,15365,49520,8
125,8,18806,16330,53918,8
111,9,20948,17468,59311,8
100,10,23386,19314,66065,8
76,13,25388,20025,70791,8
100,10,25731,19479,70953,8
111,9,26566,17733,70888,8
111,9,26632,15528,68783,8
125,8,26901,13967,67795,8
125,8,27289,11527,66112,8
125,8,27324,10119,64777,8
142,7,27348,8644,63342,8
142,7,27583,6548,61720,8
166,6,27583,4002,59197,8
166,6,27638,2645,57923,8
200,5,27638,1293,56570,8
200,5,27638,1152,56428,8
166,6,28555,1922,59013,8
142,7,29901,3116,62870,8
142,7,30842,3907,65578,8
100,10,32095,5018,69208,8
125,8,32095,4877,69068,8
111,9,32095,4769,68959,8
71,14,32058,24607,88725,8
71,14,31340,23753,88388,8
71,14,29849,22233,83922,8
76,13,28121,22977,81205,8
83,12,22717,20395,68751,8
100,10,17570,14228,52754,8
90,11,16078,12126,48278,8
111,9,14619,10200,43897,8
142,7,13304,8795,39980,8
166,6,12293,7890,36899,8
200,5,11640,7263,34940,8
200,5,11192,6921,30349,8
200,5,10824,6615,28982,8
166,6,10503,6339,28045,8
200,5,10229,6088,28108,8
200,5,10041,5937,26023,8
250,4,9918,5813,26271,8
200,5,9825,5717,25371,8
250,4,9754,5537,25659,8
200,5,9712,5397,25719,8
250,4,9695,5398,24788,8
166,6,9663,5423,24752,8
250,4,9639,5574,24852,8
200,5,9635,5558,24828,8
200,5,9633,5471,24737,8
166,6,9596,5618,24813,8
200,5,9545,5622,27097,8
200,5,9533,5607,24673,8
200,5,9513,5566,26942,8
200,5,9492,5521,24509,8
250,4,9492,5397,24381,8
200,5,9492,5240,24224,8
200,5,9490,5211,24191,8
250,4,9489,5250,24228,8
200,5,9488,5219,24206,8
200,5,9488,5138,24116,8
250,4,9486,5191,24170,8
250,4,9486,5082,24059,8
250,4,9485,4987,23963,8
250,4,9485,4861,23841,8
250,4,9483,4716,23682,8
333,3,9483,4587,23553,8
200,5,9481,4339,23306,8
250,4,9481,4126,23100,8
250,4,9480,3953,22920,8
333,3,9480,3772,22732,8
333,3,9480,3696,22661,8
250,4,9479,3603,22561,8
333,3,9479,3525,22483,8
250,4,9479,3518,22476,8
0,0,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,0,0,0,8
1000,1,1221,1221,3618,8
333,3,3154,3154,9402,8
200,5,5334,5334,16002,8
125,8,8030,8030,24000,8
111,9,10256,10256,30702,8
100,10,12790,12790,38307,8
71,14,15614,15614,46752,8
66,15,18608,18608,55725,8
47,21,21641,21641,64815,8
35,28,24579,24579,73629,8
38,26,27806,27728,83286,8
37,27,29997,28429,88430,8
37,27,29997,26519,86517,8
43,23,29997,23626,83626,8
47,21,29997,21801,81813,8
50,20,29997,19434,79470,8
58,17,29997,16925,76938,8
66,15,29997,14072,74088,8
66,15,29997,11080,71109,8
100,10,29997,7166,67202,8
125,8,29997,3935,63934,8
166,6,29997,1539,61543,8
166,6,29997,1003,60999,8
200,5,29997,631,60625,8
200,5,29997,424,60419,8
200,5,29997,256,60250,8
166,6,31925,2043,65824,8
111,9,34565,4613,73650,8
90,11,37368,7416,82044,8
66,15,40170,10218,90522,8
58,17,43287,13335,99819,8
52,19,44000,14048,102048,8
58,17,44000,14048,102048,8
